"","name","handedness","height","weight","avg","HR"
"575","Felix Millan","R",71,172,0.279,22
"576","Steve Garvey","R",70,192,0.294,272
"577","Don Mincher","L",75,205,0.249,200
"580","Tony Cloninger","R",72,210,0.192,11
"581","Jim Gosger","L",71,185,0.226,30
"582","Chuck Harrison","R",70,185,0.238,17
"583","Mike Ivie","R",75,205,0.269,81
"585","Bob Veale","B",78,212,0.114,0
"586","Marvell Wynne","L",71,175,0.247,40
"587","Dusty Baker","R",74,183,0.278,242
"588","Tucker Ashford","R",73,195,0.218,6
"589","Ned Yost","R",73,190,0.212,16
"590","Bob Stinson","B",71,180,0.25,33
"592","Gaylord Perry","R",76,205,0.131,6
"593","Dave Marshall","L",73,182,0.246,16
"594","Mickey Hatcher","R",74,200,0.28,38
"595","Roger Repoz","L",75,190,0.224,82
"597","John Orsino","R",75,215,0.249,40
"599","Johnny Briggs","L",73,190,0.253,139
"601","Dave Hostetler","R",76,215,0.229,37
"602","Bob Jones","L",74,195,0.221,20
"603","Keith Hernandez","L",72,180,0.296,162
"605","Dean Chance","R",75,200,0.066,0
"606","Willie Upshaw","L",72,185,0.262,123
"607","Dick Green","R",70,180,0.24,80
"608","Dane Iorg","L",72,180,0.276,14
"609","Richie Hebner","L",73,195,0.276,203
"610","Fran Healy","R",77,220,0.25,20
"611","Doc Edwards","R",74,215,0.238,15
"612","Sandy Alomar","B",69,140,0.245,13
"613","Joe Strain","R",70,169,0.25,1
"614","Gene Richards","L",72,175,0.29,26
"615","Buddy Bell","R",73,180,0.279,201
"616","Al Woods","L",75,190,0.271,35
"617","Rudy Law","L",73,165,0.271,18
"619","Jody Davis","R",76,192,0.245,127
"620","Mike Edwards","R",70,154,0.25,2
"623","Deron Johnson","R",74,200,0.244,245
"624","John Denny","R",75,185,0.17,0
"625","Don Wert","R",70,162,0.242,77
"626","Mike Fiore","L",72,175,0.227,13
"627","Miguel Dilone","B",72,160,0.265,6
"628","Greg Luzinski","R",73,220,0.276,307
"629","Bobby Tolan","L",71,170,0.265,86
"632","Ron Woods","R",70,168,0.233,26
"633","Tony Horton","R",75,210,0.268,76
"634","Randy Hundley","R",71,170,0.236,82
"635","Jose Tartabull","L",71,165,0.261,2
"636","Ben Oglivie","L",74,160,0.273,235
"638","Bob Johnson","R",70,175,0.272,44
"639","Don Buford","B",67,160,0.264,93
"640","Duane Kuiper","L",72,175,0.271,1
"641","Brant Alyea","R",75,215,0.247,38
"642","Jerry Narron","L",75,205,0.211,21
"643","Lou Johnson","R",71,170,0.258,48
"644","Ken Retzer","L",72,185,0.264,14
"645","Mike Brown","R",74,195,0.265,23
"647","Greg Walker","L",75,205,0.26,113
"648","Terry Harper","R",76,195,0.253,36
"649","Jerry Royster","R",72,165,0.249,40
"652","Barry Bonnell","R",75,190,0.272,56
"653","Tom Seaver","R",73,195,0.154,12
"654","Jerry Martin","R",73,195,0.251,85
"655","Bill Stein","R",70,170,0.267,44
"656","Joel Youngblood","R",72,180,0.265,80
"657","Reggie Jackson","L",72,195,0.262,563
"658","Sonny Jackson","L",69,150,0.251,7
"660","Rodney Scott","B",72,160,0.236,3
"661","Rich Coggins","L",68,170,0.265,12
"662","Phil Gagliano","R",73,180,0.238,14
"663","Jerry McNertney","R",72,180,0.237,27
"664","Mitchell Page","L",74,205,0.266,72
"665","Kiko Garcia","R",71,180,0.239,12
"666","Larry Milbourne","B",72,161,0.254,11
"667","Bill Sudakis","B",73,190,0.234,59
"669","Domingo Ramos","R",70,154,0.24,8
"670","Ron Oester","B",74,185,0.265,42
"671","Glenn Adams","L",73,180,0.28,34
"673","Joe Morgan","L",67,160,0.271,268
"674","R.J. Reynolds","B",72,190,0.267,35
"676","Lee Thomas","L",74,195,0.255,106
"677","Ray Fosse","R",74,215,0.256,61
"678","Paul Popovich","B",72,175,0.233,14
"679","John Stephenson","L",71,180,0.216,12
"680","Doug Clemens","L",72,180,0.229,12
"682","Orlando Mercado","R",72,180,0.199,7
"683","Charley Smith","R",73,170,0.239,69
"685","Buddy Biancalana","B",71,160,0.205,6
"687","Bob Uecker","R",73,190,0.2,14
"688","Felix Torres","R",71,165,0.254,27
"689","Steve Braun","L",70,180,0.271,52
"690","Ray Knight","R",73,185,0.271,84
"691","Ty Cline","L",72,170,0.238,6
"692","Thad Bosley","L",75,175,0.272,20
"693","Bobby Grich","R",74,180,0.266,224
"694","Jimmie Hall","L",72,175,0.254,121
"695","John Boccabella","R",73,195,0.219,26
"696","Brock Davis","L",70,160,0.26,1
"698","Curt Blefary","L",74,195,0.237,112
"701","Mack Jones","L",73,180,0.252,133
"702","Buddy Bradford","R",71,170,0.226,52
"703","Hosken Powell","L",73,175,0.259,17
"705","Dave Stapleton","R",73,178,0.271,41
"706","Gary Ward","R",74,195,0.276,130
"707","Jim Lonborg","R",77,200,0.136,3
"708","Joe Lis","R",72,175,0.233,32
"709","Dan Meyer","L",71,180,0.253,86
"710","Jim Holt","L",72,180,0.265,19
"712","Larry Herndon","R",75,190,0.274,107
"716","Wallace Johnson","B",72,173,0.255,5
"718","Eddie Leon","R",72,170,0.236,24
"720","Jim Wohlford","R",71,175,0.26,21
"721","J.R. Richard","R",80,222,0.168,10
"722","Bill Voss","L",74,160,0.227,19
"723","Keith Moreland","R",72,190,0.279,121
"725","Alex Johnson","R",72,205,0.288,78
"726","Wayne Krenchicki","L",73,180,0.266,15
"728","Dave Rosello","R",71,160,0.236,10
"730","Paul Schaal","R",71,165,0.244,57
"731","Tito Landrum","R",71,175,0.249,13
"732","Dave Edwards","R",72,170,0.237,14
"733","Mario Guerrero","R",70,155,0.257,7
"734","Tom Tresh","B",73,180,0.245,153
"736","Ron Roenicke","B",72,180,0.238,17
"737","Doug Griffin","R",72,160,0.245,7
"738","Steve Blass","R",72,165,0.172,1
"739","Johnnie LeMaster","R",74,165,0.222,22
"741","Nate Oliver","R",70,160,0.226,2
"742","Ray Sadecki","L",71,180,0.191,5
"743","Ken Rudolph","R",73,180,0.213,6
"744","Wayne Nordhagen","R",74,205,0.282,39
"745","Biff Pocoroba","B",70,175,0.257,21
"746","Len Matuszek","L",74,190,0.234,30
"748","Joe Lefebvre","L",70,170,0.258,31
"749","Jim Maloney","L",74,190,0.201,7
"750","Andre Robertson","R",70,155,0.251,5
"751","Jerry Zimmerman","R",74,185,0.204,3
"754","Chet Lemon","R",72,190,0.273,215
"756","Phil Mankowski","L",72,180,0.264,8
"757","Cleon Jones","R",72,185,0.281,93
"758","Joaquin Andujar","B",72,170,0.127,5
"759","Mike Lum","L",72,180,0.247,90
"760","Johnny Grubb","L",75,175,0.278,99
"761","Curt Motton","R",68,164,0.213,25
"762","Johnny Bench","R",73,197,0.267,389
"763","Dale Berra","R",72,180,0.236,49
"765","Bob Meacham","B",73,175,0.236,8
"767","Carl Warwick","R",70,170,0.248,31
"768","Sam Bowens","R",73,188,0.223,45
"769","George Wright","B",71,180,0.245,42
"770","Luis Aguayo","R",69,173,0.236,37
"771","Hal Lanier","R",74,180,0.228,8
"773","Len Randle","B",70,169,0.257,27
"774","Greg Pryor","R",72,180,0.25,14
"775","Jim Traber","L",72,194,0.227,27
"776","Dave Nelson","R",70,160,0.244,20
"777","Lynn Jones","R",69,175,0.252,7
"778","Bryan Little","B",70,160,0.245,3
"779","Ken Suarez","R",69,175,0.227,5
"780","Rick Peters","B",69,170,0.277,2
"781","Ron Stone","L",74,185,0.241,6
"783","Tommie Agee","R",71,195,0.255,130
"784","Bob Bailey","R",73,180,0.257,189
"785","Cap Peterson","R",74,195,0.23,19
"786","Ted Uhlaender","L",74,190,0.263,36
"787","Ted Simmons","B",71,193,0.285,248
"788","Bobby Murcer","L",71,160,0.277,252
"789","Dick Tracewski","R",71,160,0.213,8
"792","Bill Nahorodny","R",74,200,0.241,25
"793","Bill Madlock","R",71,180,0.305,163
"794","Bob Boone","R",74,195,0.254,105
"796","Steve Kemp","L",72,195,0.278,130
"797","Rick Burleson","R",70,165,0.273,50
"801","Carl Taylor","R",74,200,0.266,10
"802","Terry Harmon","R",74,180,0.233,4
"803","Mike Hargrove","L",72,195,0.29,80
"805","Steve Hovley","L",70,188,0.258,8
"806","Don Leppert","R",74,220,0.229,15
"814","Lee May","R",75,195,0.267,354
"816","Sam McDowell","L",77,190,0.154,2
"817","Rick Renick","R",72,188,0.221,20
"818","Jeff Torborg","R",72,195,0.214,8
"819","Dave Campbell","R",73,180,0.213,20
"820","Pat Kelly","L",73,185,0.264,76
"821","Al Weis","B",72,160,0.219,7
"822","Jerry Turner","L",69,180,0.257,45
"823","Rick Auerbach","R",72,165,0.22,9
"825","Don Wilson","R",74,195,0.146,1
"828","Sandy Valdespino","L",68,170,0.23,7
"832","Ken Phelps","L",73,209,0.239,123
"833","Cesar Cedeno","R",74,175,0.285,199
"835","Phil Linz","R",73,180,0.235,11
"836","Manny Mota","R",70,160,0.304,31
"838","Steve Renko","R",77,230,0.215,6
"839","Rick Sofield","L",73,195,0.243,9
"842","Doug DeCinces","R",74,190,0.259,237
"843","John Castino","R",71,175,0.278,41
"844","Dave May","L",70,186,0.251,96
"845","Ron Washington","R",71,155,0.261,20
"846","Billy Grabarkewitz","R",70,165,0.236,28
"847","Willie Aikens","L",75,220,0.271,110
"848","Earl Williams","R",75,215,0.247,138
"851","Don Hahn","R",73,180,0.236,7
"852","Todd Cruz","R",72,175,0.22,34
"853","Tom Egan","R",76,218,0.2,22
"854","Bob Heise","R",72,175,0.247,1
"855","Tommy Harper","R",69,165,0.257,146
"856","Joe Wallis","B",71,180,0.244,16
"857","Max Alvis","R",71,185,0.247,111
"858","Rico Carty","R",75,200,0.299,204
"859","Mike Cubbage","L",72,180,0.258,34
"861","Merritt Ranew","L",71,170,0.247,8
"862","Lyman Bostock","L",73,180,0.311,23
"863","Damaso Garcia","R",73,165,0.283,36
"866","Roy Howell","L",73,190,0.261,80
"867","Boog Powell","L",76,230,0.266,339
"869","Sonny Siebert","R",75,190,0.173,12
"871","Bobby Darwin","R",74,190,0.251,83
"873","Dan Driessen","L",71,187,0.267,153
"874","Bruce Miller","R",73,185,0.246,1
"875","Bob Bailor","R",71,170,0.264,9
"876","Tommy Helms","R",70,165,0.269,34
"877","Tony Armas","R",71,182,0.252,251
"878","Willie Horton","R",71,209,0.273,325
"879","Lou Piniella","R",72,182,0.291,102
"880","Butch Hobson","R",73,193,0.248,98
"881","John Wathan","R",74,205,0.262,21
"882","Hal King","L",73,200,0.214,24
"883","Mike Krukow","R",77,205,0.193,5
"884","Andres Mora","R",72,180,0.223,27
"885","Barry Foote","R",75,205,0.23,57
"886","Ed Ott","L",70,190,0.259,33
"887","Alan Wiggins","B",74,160,0.259,5
"888","Ron Clark","R",70,175,0.189,5
"891","Julio Gotay","R",72,180,0.26,6
"892","Gary Alexander","R",74,195,0.23,55
"893","Andre Thornton","R",75,200,0.254,253
"894","Bob Oliver","R",75,205,0.256,94
"900","Bob Robertson","R",73,195,0.242,115
"903","Ollie Brown","R",74,178,0.265,102
"905","Frank Quilici","R",73,170,0.214,5
"907","Joe Pepitone","L",74,185,0.258,219
"908","Steve Barber","L",72,195,0.115,5
"910","Norm Miller","L",70,185,0.238,24
"913","Bob Chance","L",74,196,0.261,24
"914","Julio Cruz","B",69,165,0.237,23
"915","Bill Sample","R",69,175,0.272,46
"918","Craig Kusick","R",75,210,0.235,46
"919","Rudy Meoli","L",69,165,0.212,2
"920","Ruppert Jones","L",70,170,0.25,147
"921","Glenn Hoffman","R",73,175,0.242,23
"922","Russ Gibson","R",73,195,0.228,8
"924","Terry Francona","L",73,190,0.274,16
"925","John Bateman","R",75,210,0.23,81
"926","Luis Pujols","R",74,175,0.193,6
"927","Joe Gaines","R",73,190,0.241,21
"928","Doug Rader","R",74,208,0.251,155
"929","Mickey Stanley","R",73,185,0.248,117
"932","Phil Bradley","R",72,185,0.286,78
"933","Winston Llenas","R",70,165,0.23,3
"934","Charlie Moore","R",71,180,0.261,36
"935","Ralph Garr","L",71,185,0.306,75
"936","Tommy John","R",75,180,0.157,5
"937","Bruce Benedict","R",73,175,0.242,18
"938","John Ellis","R",74,225,0.262,69
"939","Wes Parker","B",73,180,0.267,64
"941","David Green","R",75,170,0.268,31
"942","Reid Nichols","R",71,165,0.266,22
"943","Rick Reichardt","R",75,210,0.261,116
"944","Luis Tiant","R",72,180,0.164,5
"946","Broderick Perkins","L",70,180,0.271,8
"947","Leon Roberts","R",75,200,0.267,78
"948","Ray Burris","R",77,200,0.151,1
"949","Len Gabrielson","L",76,210,0.253,37
"950","Johnny Edwards","L",76,220,0.242,81
"952","Tom Grieve","R",74,190,0.249,65
"954","Bob Forsch","R",76,200,0.213,12
"956","Danny Cater","R",72,170,0.276,66
"957","Bill Schroeder","R",74,200,0.24,61
"958","Clay Dalrymple","L",72,190,0.233,55
"959","Carlos May","L",71,200,0.274,90
"960","Reggie Smith","B",72,180,0.287,314
"961","Ron Reed","R",78,215,0.158,0
"963","Davey Johnson","R",73,170,0.261,136
"964","Ellis Valentine","R",76,205,0.278,123
"965","Roy White","B",70,160,0.271,160
"966","Mike Brumley","L",70,195,0.229,5
"967","Al Luplow","L",70,175,0.235,33
"969","Dick Allen","R",71,187,0.292,351
"970","Doug Ault","R",75,200,0.236,17
"971","Mark Wagner","R",72,165,0.243,3
"973","Willie Stargell","L",74,188,0.282,475
"974","Steve Carlton","L",76,210,0.201,13
"975","Jake Wood","R",73,163,0.25,35
"976","Del Unser","L",73,180,0.258,87
"977","Bob Brower","R",71,185,0.242,17
"978","Ray Culp","R",72,200,0.123,1
"979","Ivan Murrell","R",74,195,0.236,33
"980","Lee Mazzilli","B",73,180,0.259,93
"981","Garth Iorg","R",71,170,0.258,20
"982","Alan Ashby","B",74,185,0.245,90
"983","Bob Brenly","R",74,210,0.247,91
"984","Ron Blomberg","L",73,195,0.293,52
"985","Jim Rooker","R",72,195,0.201,7
"986","Tim Blackwell","B",71,170,0.228,6
"988","Jerry Morales","R",70,155,0.259,95
"989","Davey Lopes","R",69,170,0.263,155
"990","Catfish Hunter","R",72,190,0.226,6
"991","Mario Soto","R",72,174,0.132,1
"992","Jimmy Wynn","R",70,160,0.25,291
"993","Hank Allen","R",72,190,0.241,6
"994","Jim Fregosi","R",73,190,0.265,151
"995","Pepe Frias","R",70,159,0.24,1
"996","Mike Schmidt","R",74,195,0.267,548
"997","Willie Montanez","L",72,170,0.275,139
"998","Rey Quinones","R",71,160,0.243,29
"999","Mike Squires","L",71,185,0.26,6
"1000","Champ Summers","L",74,205,0.255,54
"1002","Bert Campaneris","R",70,160,0.259,79
"1003","Bobby Valentine","R",70,189,0.26,12
"1004","Rob Andrews","R",72,185,0.251,3
"1005","Tom Haller","L",76,195,0.257,134
"1007","Ed Stroud","L",71,180,0.237,14
"1008","Ron Swoboda","R",74,195,0.242,73
"1009","Harry Spilman","L",73,180,0.237,18
"1010","Bob Barton","R",72,175,0.226,9
"1011","Daryl Sconiers","L",74,185,0.265,15
"1012","Joe Torre","R",74,212,0.297,252
"1013","Al Ferrara","R",73,200,0.259,51
"1015","Sixto Lezcano","R",70,165,0.271,148
"1017","Dave Nicholson","R",74,215,0.212,61
"1018","Freddie Patek","R",65,148,0.242,41
"1019","Ken Hubbs","R",74,175,0.247,14
"1020","Pepe Mangual","R",70,157,0.242,16
"1021","Leron Lee","L",72,196,0.25,31
"1023","Steve Ontiveros","B",72,185,0.274,24
"1024","Willie Davis","L",74,180,0.279,182
"1025","Tom Lawless","R",71,170,0.207,2
"1026","Jerry Moses","R",75,210,0.251,25
"1027","Bobby Bonds","R",73,190,0.268,332
"1028","Dave McNally","R",71,185,0.133,9
"1029","Darrell Brown","B",72,184,0.274,1
"1030","Roy Foster","R",72,185,0.253,45
"1031","Denis Menke","R",72,185,0.25,101
"1032","Hal Breeden","R",74,200,0.243,21
"1033","Manny Trillo","R",73,150,0.263,61
"1034","Jackie Gutierrez","R",71,175,0.237,4
"1035","Jerry Kenney","L",73,170,0.237,7
"1036","Fred Kendall","R",73,185,0.234,31
"1037","Mike Anderson","R",74,200,0.246,28
"1039","Joe Charboneau","R",74,205,0.266,29
"1040","Jimmie Schaffer","R",69,170,0.223,11
"1041","Junior Kennedy","R",71,175,0.248,4
"1042","Wilbur Howard","B",74,170,0.25,6
"1043","Rod Gilbreath","R",74,180,0.248,14
"1044","Mark Brouhard","R",73,210,0.259,25
"1046","Mike Young","B",74,195,0.247,72
"1047","Chris Speier","R",73,175,0.246,112
"1048","Gene Michael","B",74,183,0.229,15
"1049","Vic Harris","B",71,165,0.217,13
"1050","Mike Fischlin","R",73,165,0.22,3
"1051","Don Money","R",73,170,0.261,176
"1052","Joe Rudi","R",74,200,0.264,179
"1053","Jim Rice","R",74,200,0.298,382
"1056","Gil Garrido","R",69,150,0.237,1
"1057","Marty Perez","R",71,160,0.246,22
"1058","Tom Matchick","L",73,173,0.215,4
"1059","Jack Perconte","L",70,160,0.27,2
"1060","Ed Kirkpatrick","L",71,195,0.238,85
"1061","Jerry Grote","R",70,185,0.252,39
"1062","Ellie Hendricks","L",73,175,0.22,62
"1063","Jim Beauchamp","R",74,190,0.231,14
"1065","Tito Fuentes","B",71,175,0.268,45
"1066","Ron Brand","R",67,167,0.239,3
"1067","Leo Cardenas","R",71,150,0.257,118
"1068","Art Shamsky","L",73,168,0.253,68
"1070","Ron Cey","R",70,185,0.261,316
"1071","Skip Jutze","R",71,190,0.215,3
"1072","Butch Wynegar","B",73,190,0.255,65
"1073","Ron LeFlore","R",72,200,0.288,59
"1074","Bill Russell","R",72,175,0.263,46
"1075","Gene Tenace","R",72,190,0.241,201
"1076","Bubba Morton","R",70,175,0.267,14
"1077","Ellie Rodriguez","R",71,185,0.245,16
"1078","Darrel Chaney","B",74,188,0.217,14
"1079","Dick Nen","L",74,200,0.224,21
"1081","Bill Freehan","R",75,203,0.262,200
"1082","Steve Nicosia","R",70,185,0.248,11
"1083","Ted Savage","R",73,185,0.233,34
"1084","Pete Mackanin","R",74,190,0.226,30
"1085","Rich Dauer","R",72,180,0.257,43
"1086","Mick Kelleher","R",69,176,0.213,0
"1087","Rowland Office","L",72,170,0.259,32
"1088","Rick Leach","L",73,180,0.268,18
"1089","Dwayne Murphy","L",73,185,0.246,166
"1090","Larry Harlow","L",74,185,0.248,12
"1091","Mike Epstein","L",75,230,0.244,130
"1092","Jerry Mumphrey","B",74,185,0.289,70
"1093","Don Sutton","R",73,185,0.144,0
"1094","Glenn Beckert","R",73,190,0.283,22
"1095","Ron Davis","R",72,175,0.233,10
"1096","Mike Shannon","R",75,195,0.255,68
"1097","Jason Thompson","L",76,200,0.261,208
"1098","Wayne Tolleson","B",69,160,0.241,9
"1101","Mike Jorgensen","L",72,195,0.243,95
"1102","Ed Romero","R",71,160,0.247,8
"1103","Rick Joseph","R",73,192,0.243,13
"1104","Cecil Cooper","L",74,165,0.298,241
"1105","Bill Almon","R",75,180,0.254,36
"1106","Joe Ferguson","R",74,200,0.24,122
"1108","Jerry Terrell","R",71,165,0.253,4
"1110","Dave Revering","L",76,210,0.265,62
"1111","Curt Ford","L",70,150,0.245,7
"1112","Jerry Dybzinski","R",74,180,0.234,3
"1114","Bob Burda","L",71,174,0.224,13
"1115","Jesse Gonder","L",70,180,0.251,26
"1116","Gary Sutherland","R",72,185,0.243,24
"1117","Bob Coluccio","R",71,183,0.22,26
"1118","Dave Rader","L",71,165,0.257,30
"1119","Ron Gardenhire","R",72,175,0.232,4
"1120","Bill Sharp","L",70,178,0.255,9
"1121","Alan Bannister","R",71,170,0.27,19
"1122","Bob Watson","R",72,201,0.295,184
"1123","Ken Harrelson","R",74,190,0.239,131
"1124","Bobby Wine","R",73,187,0.215,30
"1126","John Kennedy","R",72,185,0.225,32
"1127","Chico Ruiz","B",72,169,0.24,2
"1129","Gail Hopkins","L",70,198,0.266,25
"1130","Doug Frobel","L",76,196,0.201,20
"1131","Luis Melendez","R",72,165,0.248,9
"1133","Bill Plummer","R",73,190,0.188,14
"1134","Buck Rodgers","B",74,190,0.232,31
"1135","Phil Niekro","R",73,180,0.169,7
"1137","Tom Poquette","L",70,175,0.268,10
"1139","Brian Asselstine","L",73,175,0.254,12
"1140","Rick Miller","L",72,175,0.269,28
"1141","Ed Charles","R",70,170,0.263,86
"1142","Luis Gomez","R",69,150,0.21,0
"1145","Floyd Rayford","R",70,190,0.244,38
"1147","Tony Conigliaro","R",75,185,0.264,166
"1149","Jim Barr","R",75,205,0.162,1
"1150","Jerry Remy","L",69,165,0.275,7
"1152","Frank Duffy","R",73,180,0.232,26
"1154","Tom O'Malley","L",72,180,0.256,13
"1155","Phil Garner","R",70,175,0.26,109
